Number,Parameter,Units
0,Parcel lifted index (to 500 hPa),K
1,Best lifted index (to 500 hPa),K
2,K index,K
3,KO index,K
4,Total totals index,K
5,Sweat index,Numeric
6,Convective available potential energy,J kg–1
7,Convective inhibition,J kg–1
8,Storm relative helicity,J kg–1
9,Energy helicity index,Numeric
10,Surface lifted index,K
11,Best (4-layer) lifted index,K
12,Richardson number,Numeric
13,Showalter index,K
14,Reserved,
15,Updraught helicity,m2 s–2
16,Bulk Richardson number,Numeric
17,Gradient Richardson number,Numeric
18,Flux Richardson number,Numeric
19–191,Reserved,
192–254,Reserved for local use,
255,Missing,
