Number,Parameter,Units
0,Water depth,m
1,Water temperature,K
2,Water fraction,Proportion
3,Sediment thickness,m
4,Sediment temperature,K
5,Ice thickness,m
6,Ice temperature,K
7,Ice cover,Proportion
8,"Land cover (0 = water, 1 = land)",Proportion
9,Shape factor with respect to salinity profile,
10,Shape factor with respect to temperature profile in thermocline,
11,Attenuation coefficient of water with respect to solar radiation,m–1
12,Salinity,kg kg–1
13,Cross-sectional area of flow in channel,m2
14-191,Reserved,
192-254,Reserved for local use,
255,Missing,
