Number,Parameter,Units
0,Soil type,(Code table 7.213)
5,Liquid volumetric soil moisture (non-frozen) (see Note 1),Proportion
6,Number of soil layers in root zone,Numeric
7,Transpiration stress-onset (soil moisture) (see Note 1),Proportion
8,Direct evaporation cease (soil moisture) (see Note 1),Proportion
9,Soil porosity (see Note 1),Proportion
10,Liquid volumetric soil moisture (non-frozen),m3 m–3
11,Volumetric transpiration stress-onset (soil moisture),m3 m–3
12,Transpiration stress-onset (soil moisture),kg m–3
13,Volumetric direct evaporation cease (soil moisture),m3 m–3
14,Direct evaporation cease (soil moisture),kg m–3
15,Soil porosity,m3 m–3
16,Volumetric saturation of soil moisture,m3 m–3
17,Saturation of soil moisture,kg m–3
18,Soil temperature,K
19,Soil moisture,kg m–3
20,Column-integrated soil moisture,kg m–2
21,Soil ice,kg m–3
22,Column-integrated soil ice,kg m–2
23,Liquid water in snow pack,kg m–2
24,Frost index,K day–1
25,Snow depth at elevation bands,kg m–2
26–191, Reserved,
192–254,Reserved for local use,
255,Missing,
