Number,Parameter,Units
0,"Land cover (0 = sea, 1 = land)",Proportion
1,Surface roughness,m
2,Soil temperature,K
3,Soil moisture content,kg m–2
4,Vegetation,%
5,Water runoff,kg m–2
6,Evapotranspiration,kg–2 s–1
7,Model terrain height,m
8,Land use,(Code table 7.212)
9,Volumetric soil moisture content,Proportion
10,Ground heat flux,W m–2
11,Moisture availability,%
12,Exchange coefficient,kg m–2 s–1
13,Plant canopy surface water,kg m–2
14,Blackadar’s mixing length scale,m
15,Canopy conductance,m s–1
16,Minimal stomatal resistance,s m–1
17,Wilting point,Proportion
18,Solar parameter in canopy conductance,Proportion
19,Temperature parameter in canopy,Proportion
20,Humidity parameter in canopy conductance,Proportion
21,Soil moisture parameter in canopy conductance,Proportion
22,Soil moisture,kg m–3
23,Column-integrated soil water,kg m–2
24,Heat flux,W m–2
25,Volumetric soil moisture,m3 m–3
26,Wilting point,kg m–3
27,Volumetric wilting point,m3 m–3
28,Leaf area index,Numeric
29,Evergreen forest cover,Proportion
30,Deciduous forest cover,Proportion
31,Normalized differential vegetation index (NDVI),Numeric
32,Root depth of vegetation,m
33,Water runoff and drainage,kg m–2
34,Surface water runoff,kg m–2
35,Tile class,(Code table 7.243)
36,Tile fraction,Proportion
37,Tile percentage,%
38,Soil volumetric ice content (water equivalent)(see Note),m3 m–3
39–191,Reserved,
192–254,Reserved for local use,
255,Missing,
