Code figure,Meaning,Units
0,Reserved,
1,Ground or water surface,–
2,Cloud base level,–
3,Level of cloud tops,–
4,Level of 0 °C isotherm,–
5,Level of adiabatic condensation lifted from the surface,–
6,Maximum wind level,–
7,Tropopause,–
8,Nominal top of the atmosphere,–
9,Sea bottom,–
10,Reserved,–
11,Cumulonimbus (CB) base,m
12,Cumulonimbus (CB) top,m
13–19,Reserved,
20,Isothermal level,K
21–99,Reserved,
100,Isobaric surface,Pa
101,Mean sea level,-
102,Specific altitude above mean sea level,m
103,Specified height level above ground,m
104,Sigma level,“sigma” value
105,Hybrid level,–
106,Depth below land surface,m
107,Isentropic (theta) level,K
108,Level at specified pressure difference from ground to level,Pa
109,Potential vorticity surface,K m2 kg–1 s–1
110,Reserved,
111,Eta level,–
112,Reserved,
113,Logarithmic hybrid level,-
114,Snow level,Numeric
115–116,Reserved,
117,Mixed layer depth,m
118,Hybrid height level,–
119,Hybrid pressure level,–
120–159,Reserved,
160,Depth below sea level,m
161,Depth below water surface,m
162,Lake or river bottom,–
163,Bottom of sediment layer,–
164,Bottom of thermally active sediment layer,–
165,Bottom of sediment layer penetrated by thermal wave,–
166,Mixing layer,–
167,Bottom of root zone,–
168–173,Reserved,
174,"Top surface of ice on sea, lake or river",–
175,"Top surface of ice, under snow cover, on sea, lake or river",–
176,"Bottom surface (underside) ice on sea, lake or river",–
177,Deep soil (of indefinite depth),–
178,Reserved,
179,Top surface of glacier ice and inland ice,–
180,Deep inland or glacier ice (of indefinite depth),–
181,Grid tile land fraction as a model surface,–
182,Grid tile water fraction as a model surface,–
183,"Grid tile ice fraction on sea, lake or river as a model surface",–
184,"Grid tile glacier ice and inland ice fraction as a model surface",–
185–191,Reserved,
192–254,Reserved for local use,
255,Missing,
