Number,Parameter,Units
0,Cloud ice,kg m–2
1,Total cloud cover,%
2,Convective cloud cover,%
3,Low cloud cover,%
4,Medium cloud cover,%
5,High cloud cover,%
6,Cloud water,kg m–2
7,Cloud amount,%
8,Cloud type,(Code table 7.203)
9,Thunderstorm maximum tops,m
10,Thunderstorm coverage,(Code table 7.204)
11,Cloud base,m
12,Cloud top,m
13,Ceiling,m
14,Non-convective cloud cover,%
15,Cloud work function,J kg–1
16,Convective cloud efficiency,Proportion
17,Total condensate,kg kg–1
21,Ice fraction of total condensate,Proportion
22,Cloud cover,%
23,Cloud ice mixing ratio,kg kg–1
24,Sunshine,Numeric
25,Horizontal extent of cumulonimbus (CB),%
26,Height of convective cloud base,m
27,Height of convective cloud top,m
28,Number of cloud droplets per unit mass of air,kg–1
29,Number of cloud ice particles per unit mass of air,kg–1
30,Number density of cloud droplets,m–3
31,Number density of cloud ice particles,m–3
32,Fraction of cloud cover,Numeric
33,Sunshine duration,s
34,Surface long-wave effective total cloudiness,Numeric
35,Surface short-wave effective total cloudiness,Numeric
36,Fraction of stratiform precipitation cover,Proportion
37,Fraction of convective precipitation cover,Proportion
38,Mass density of cloud droplets,kg m–3
39,Mass density of cloud ice,kg m–3
40,Mass density of convective cloud water droplets,kg m–3
41–46,Reserved,
47,Volume fraction of cloud water droplets (see Note 1),Numeric
48,Volume fraction of cloud ice particles (see Note 1),Numeric
49,Volume fraction of cloud (ice and/or water) (see Note 1),  Numeric
50–191, Reserved,
192–254,Reserved for local use,
255,Missing,
