Number,Parameter,Units
0,Specific humidity,kg kg–1
1,Relative humidity,%
2,Humidity mixing ratio,kg kg–1
3,Precipitable water,kg m–2
4,Vapour pressure,Pa
5,Saturation deficit,Pa
6,Evaporation,kg m–2
7,Precipitation rate,kg m–2 s–1
8,Total precipitation,kg m–2
9,Large-scale precipitation (non-convective),kg m–2
10,Convective precipitation,kg m–2
11,Snow depth,m
12,Snowfall rate water equivalent*,kg m–2 s–1
13,Water equivalent of accumulated snow depth,kg m–2
14,Convective snow,kg m–2
15,Large-scale snow,kg m–2
16,Snow melt,kg m–2
17,Snow age,d
18,Absolute humidity,kg m–3
19,Precipitation type,(Code table 7.201)
20,Integrated liquid water,kg m–2
21,Condensate,kg kg–1
22,Cloud mixing ratio,kg kg–1
23,Ice water mixing ratio,kg kg–1
24,Rain mixing ratio,kg kg–1
25,Snow mixing ratio,kg kg–1
26,Horizontal moisture convergence,kg kg–1 s–1
29,Total snowfall,m
30,Precipitable water category,(Code table 7.202)
31,Hail,m
32,Graupel (snow pellets),kg kg–1
33,Categorical rain,(Code table 7.222)
34,Categorical freezing rain,(Code table 7.222)
35,Categorical ice pellets,(Code table 7.222)
36,Categorical snow,(Code table 7.222)
37,Convective precipitation rate,kg m–2 s–1
38,Horizontal moisture divergence,kg kg–1 s–1
39,Per cent frozen precipitation,%
40,Potential evaporation,kg m–2
41,Potential evaporation rate,W m–2
42,Snow cover,%
43,Rain fraction of total cloud water,Proportion
44,Rime factor,Numeric
45,Total column integrated rain,kg m–2
46,Total column integrated snow,kg m–2
47,Large scale water precipitation (non-convective),kg m–2
48,Convective water precipitation,kg m–2
49,Total water precipitation,kg m–2
50,Total snow precipitation,kg m–2
51,Total column water (Vertically integrated total water (vapour + cloud water/ice)),kg m–2
52,Total precipitation rate (see Note 1),kg m–2 s–1
53,Total snowfall rate water equivalent (see Note 1),kg m–2 s–1
54,Large scale precipitation rate,kg m–2 s–1
55,Convective snowfall rate water equivalent,kg m–2 s–1
56,Large scale snowfall rate water equivalent,kg m–2 s–1
57,Total snowfall rate,m s–1
58,Convective snowfall rate,m s–1
59,Large scale snowfall rate,m s–1
60,Snow depth water equivalent,kg m–2
61,Snow density,kg m–3
62,Snow evaporation,kg m–2
63,Reserved,
64,Total column integrated water vapour,kg m–2
65,Rain precipitation rate,kg m–2 s–1
66,Snow precipitation rate,kg m–2 s–1
67,Freezing rain precipitation rate,kg m–2 s–1
68,Ice pellets precipitation rate,kg m–2 s–1
69,Total column integrated cloud water,kg m–2
70,Total column integrated cloud ice,kg m–2
71,Hail mixing ratio,kg kg–1
72,Total column integrated hail,kg m–2
73,Hail precipitation rate,kg m–2 s–1
74,Total column integrated graupel,kg m–2
75,Graupel (snow pellets) precipitation rate,kg m–2 s–1
76,Convective rain rate,kg m–2 s–1
77,Large scale rain rate,kg m–2 s–1
78,Total column integrated water (all components including precipitation),kg m–2
79,Evaporation rate,kg m–2 s–1
80,Total condensate,kg kg–1
81,Total column-integrated condensate,kg m–2
82,Cloud ice mixing-ratio,kg kg–1
83,Specific cloud liquid water content,kg kg–1
84,Specific cloud ice water content,kg kg–1
85,Specific rainwater content,kg kg–1
86,Specific snow water content,kg kg–1
87–89,Reserved,
90,Total kinematic moisture flux,kg kg–1 m s–1
91,u-component (zonal) kinematic moisture flux,kg kg–1 m s–1
92,v-component (meridional) kinematic moisture flux,kg kg–1 m s–1
93,Relative humidity with respect to water,%
94,Relative humidity with respect to ice,%
95,Freezing or frozen precipitation rate,kg m–2 s–1
96,Mass density of rain,kg m–3
97,Mass density of snow,kg m–3
98,Mass density of graupel,kg m–3
99,Mass density of hail,kg m–3
100,Specific number concentration of rain,kg–1
101,Specific number concentration of snow,kg–1
102,Specific number concentration of graupel,kg–1
103,Specific number concentration of hail,kg–1
104,Number density of rain,m–3
105,Number density of snow,m–3
106,Number density of graupel,m–3
107,Number density of hail,m–3
108,Specific humidity tendency due to parameterization,kg kg–1 s–1
109–191,Reserved,
192–254,Reserved for local use,
255,Missing,
