Number,Parameter,Units
0,Ice cover,Proportion
1,Ice thickness,m
2,Direction of ice drift,degree true
3,Speed of ice drift,m s–1
4,u-component of ice drift,m s–1
5,v-component of ice drift,m s–1
6,Ice growth rate,m s–1
7,Ice divergence,s–1
8,Ice temperature,K
9,Module of ice internal pressure (see Note 1),Pa m
10,Zonal vector component of vertically integrated ice internal pressure,Pa m 
11,Meridional vector component of vertically integrated ice internal pressurei,Pa m 
12,Compressive ice strength,N m–1
13–191,Reserved,
192–254,Reserved for local use,
255,Missing,
