"Code figure","Meaning"
0,"Latitude/longitude regular grid on an ellipsoidal planet"
1,"Rotated latitude/longitude regular grid on an ellipsoidal planet"
2,"Stretched latitude/longitude regular grid on an ellipsoidal planet"
3,"Stretched and rotated latitude/longitude regular grid on ellipsoidal planet"
4,"Latitudes simple packing, Periodic Longitudes with number of points per parallel on ellipsoidal planet"
5,"Latitudes simple packing, Periodic Longitudes with number of points per parallel and longitude of first point per parallel on ellipsoidal planet"
6,"Latitudes simple packing, non-periodic Longitudes with number of points per parallel on ellipsoidal planet"
7,"Latitudes simple packing, regular Longitudes on ellipsoidal planet"
8,"Regular Latitudes, Periodic Longitudes with number of points per parallel on ellipsoidal planet"
9,"Regular Latitudes, Periodic Longitudes with number of points per parallel and longitude of first point per parallel on ellipsoidal planet"
10,"Regular Latitudes, non-periodic Longitudes with number of points per parallel on ellipsoidal planet"
11,"Regular Latitudes, regular Longitudes on ellipsoidal planet"
12,"Latitudes simple packing, Periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
13,"Latitudes simple packing, Periodic Longitudes with number of points per parallel and longitude of first point per parallel on ellipsoidal planet, sub-grid"
14,"Latitudes simple packing, non-periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
15,"Latitudes simple packing, regular Longitudes on ellipsoidal planet, sub-grid"
16,"Regular Latitudes, Periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
17,"Regular Latitudes, Periodic Longitudes with number of points per parallel and longitude of first point per parallel on ellipsoidal planet, sub-grid"
18,"Regular Latitudes, non-periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
19,"Regular Latitudes, regular Longitudes on ellipsoidal planet"
20,"Rotated Latitudes simple packing, Periodic Longitudes with number of points per parallel on ellipsoidal planet"
21,"Rotated Latitudes simple packing, Periodic Longitudes with number of points per parallel and longitude of first point per parallel on ellipsoidal planet"
22,"Rotated Latitudes simple packing, non-periodic Longitudes with number of points per parallel on ellipsoidal planet"
23,"Rotated Latitudes simple packing, regular Longitudes on ellipsoidal planet"
24,"Rotated Regular Latitudes, Periodic Longitudes with number of points per parallel on ellipsoidal planet"
25,"Rotated Regular Latitudes, Periodic Longitudes with number of points per parallel and longitude of first point per parallel on ellipsoidal planet"
26,"Rotated Regular Latitudes, non-periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
27,"Rotated Regular Latitudes, regular Longitudes on ellipsoidal planet"
28,"Rotated Latitudes simple packing, Periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
29,"Rotated Latitudes simple packing, Periodic Longitudes with number of points per parallel and longitude of first point per parallel on ellipsoidal planet, sub-grid"
30,"Rotated Latitudes simple packing, non-periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
31,"Rotated Latitudes simple packing, regular Longitudes on ellipsoidal planet, sub-grid"
32,"Rotated Regular Latitudes, Periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
33,"Rotated Regular Latitudes, Periodic Longitudes with number of points per parallel and longitude of first point per parallel on ellipsoidal planet, sub-grid"
34,"Rotated Regular Latitudes, non-periodic Longitudes with number of points per parallel on ellipsoidal planet, sub-grid"
35,"Rotated Regular Latitudes, regular Longitudes on ellipsoidal planet"
36,"Latitude/longitude unstructured mesh on ellipsoidal planet simple packing"
37,"Rotated Latitude/longitude unstructured mesh on ellipsoidal planet simple packing"
38,"Latitude/longitude irregular grid on ellipsoidal planet simple packing"
39,"Rotated Latitude/longitude irregular grid on ellipsoidal planet simple packing"
40,"Spherical harmonic coefficients on ellipsoidal planet"
41,"Rotated Spherical harmonic coefficients on ellipsoidal planet"
42,"URL"
43–32767,"Reserved"
32768–65534,"Reserved for local use"
65535,"Missing"
