Number,Parameter,Units
0,Air concentration of caesium 137,Bq m–3
1,Air concentration of iodine 131,Bq m–3
2,Air concentration of radioactive pollutant,Bq m–3
3,Ground deposition of caesium 137,Bq m–2
4,Ground deposition of iodine 131,Bq m–2
5,Ground deposition of radioactive pollutant,Bq m–2
6,Time-integrated air concentration of caesium pollutant (see Note 1),Bq s m–3
7,Time-integrated air concentration of iodine pollutant (see Note 1),Bq s m–3
8,Time-integrated air concentration of radioactive pollutant (see Note 1),Bq s m–3
9,Reserved,
10,Air concentration,Bq m–3
11,Wet deposition,Bq m–2
12,Dry deposition,Bq m–2
13,Total deposition (wet + dry),Bq m–2
14–191,Reserved,
192–254,Reserved for local use,
255,Missing,
